generation,average,best,p90
0,0.13008333333333333,0.7687499999999999,0.4224583333333333
1,0.21126666666666666,0.7425,0.6097916666666666
2,0.29994166666666666,0.8854166666666666,0.7395416666666667
3,0.4356333333333334,0.9425,0.836625
4,0.48515833333333336,0.9604166666666666,0.8867916666666666
5,0.49284166666666673,0.9625,0.9186666666666667
6,0.5922416666666667,0.9858333333333333,0.9537500000000001
7,0.6594500000000001,0.9845833333333333,0.951875
8,0.713475,0.9833333333333334,0.9629583333333334
9,0.8528083333333335,0.98375,0.97775
10,0.8734666666666668,0.98875,0.9821666666666666
11,0.9224000000000001,0.9870833333333334,0.981
12,0.9457833333333333,0.9900000000000001,0.983875
13,0.950675,0.9900000000000001,0.9833750000000001
14,0.938575,0.99375,0.984625
15,0.9649666666666668,0.9891666666666667,0.9852083333333334
16,0.9401416666666667,0.9958333333333332,0.9877916666666666
17,0.9188583333333333,0.995,0.9900833333333334
18,0.9633000000000002,0.9954166666666667,0.9900416666666667
19,0.9689916666666665,0.9970833333333333,0.9893333333333334
20,0.9682916666666668,0.9941666666666666,0.9874999999999999
21,0.9656083333333334,0.9974999999999999,0.9921250000000001
22,0.9625999999999998,0.9983333333333334,0.98975
23,0.9748,0.9950000000000001,0.9922083333333334
24,0.966725,0.9958333333333332,0.9913333333333334
25,0.961375,0.9975,0.9930416666666666
26,0.9766583333333334,0.9975,0.9935416666666667
27,0.9701583333333335,0.9966666666666667,0.9933333333333333
28,0.9751333333333334,0.9979166666666667,0.9926250000000001
29,0.9757166666666667,0.9987499999999999,0.9946666666666667
30,0.9750083333333331,0.99625,0.99125
31,0.9765333333333333,0.9970833333333333,0.9942083333333334
32,0.9754666666666667,0.9974999999999999,0.99625
33,0.9787,0.9975,0.9925833333333334
34,0.9779083333333334,0.9987499999999999,0.9921250000000001
35,0.9780250000000001,0.9983333333333334,0.9925833333333334
36,0.9583750000000001,0.9983333333333334,0.9946666666666667
37,0.9776333333333334,0.9987499999999999,0.990875
38,0.9757833333333332,0.9983333333333334,0.9942083333333334
39,0.97245,0.9983333333333334,0.9934583333333333
40,0.9833500000000001,1.0,0.9987499999999999
41,0.9814583333333333,1.0,0.9975833333333334
42,0.9852166666666667,1.0,0.9975416666666668
43,0.98245,1.0,0.99925
44,0.9884499999999999,1.0,1.0
45,0.9853000000000001,1.0,1.0
46,0.9907666666666667,1.0,1.0
47,0.9900166666666668,1.0,1.0
48,0.9833,1.0,1.0
49,0.9922666666666666,1.0,1.0
50,0.9924250000000001,1.0,1.0
51,0.99335,1.0,1.0
52,0.9927333333333334,1.0,1.0
53,0.9744083333333334,1.0,1.0
54,0.9759333333333333,1.0,1.0
55,0.9931749999999999,1.0,1.0
56,0.9925250000000001,1.0,1.0
57,0.9930416666666667,1.0,1.0
58,0.9949250000000001,1.0,1.0
59,0.993625,1.0,1.0
60,0.9924583333333333,1.0,1.0
61,0.9944083333333333,1.0,1.0
62,0.9935416666666668,1.0,1.0
63,0.9943833333333333,1.0,1.0
64,0.9762333333333334,1.0,1.0
65,0.9967666666666668,1.0,1.0
66,0.9966666666666667,1.0,1.0
67,0.9885333333333334,1.0,1.0
68,0.9960916666666667,1.0,1.0
69,0.9983833333333334,1.0,1.0
70,0.9986666666666667,1.0,1.0
71,0.967225,1.0,1.0
72,0.9959083333333334,1.0,1.0
73,0.9985416666666665,1.0,1.0
74,0.9988833333333333,1.0,1.0
75,0.9996666666666667,1.0,1.0
76,0.9969916666666667,1.0,1.0
77,0.9991166666666667,1.0,1.0
78,0.999025,1.0,1.0
79,1.0,1.0,1.0
80,0.99995,1.0,1.0
81,0.9935416666666668,1.0,1.0
82,0.9933166666666666,1.0,1.0
83,0.9914333333333333,1.0,1.0
84,0.9933166666666666,1.0,1.0
85,0.99995,1.0,1.0
86,0.9980666666666668,1.0,1.0
87,0.998575,1.0,1.0
88,0.99945,1.0,1.0
89,0.9960249999999999,1.0,1.0
90,0.9989583333333333,1.0,1.0
91,0.9959666666666667,1.0,1.0
92,1.0,1.0,1.0
93,0.9989666666666668,1.0,1.0
94,0.9983416666666668,1.0,1.0
95,0.9998333333333334,1.0,1.0
96,0.9942833333333334,1.0,1.0
97,0.9838,1.0,1.0
98,0.9997333333333333,1.0,1.0
99,0.9926416666666666,1.0,1.0
100,0.9956999999999999,1.0,1.0
101,0.9750166666666666,1.0,1.0
102,0.999375,1.0,1.0
103,0.9971000000000001,1.0,1.0
104,0.9858916666666667,1.0,1.0
105,1.0,1.0,1.0
106,0.9999833333333333,1.0,1.0
107,0.9932249999999999,1.0,1.0
108,0.999425,1.0,1.0
109,0.9996583333333333,1.0,1.0
110,1.0,1.0,1.0
111,1.0,1.0,1.0
112,0.9988583333333334,1.0,1.0
113,0.9932499999999999,1.0,1.0
114,0.9998333333333334,1.0,1.0
115,0.9985583333333333,1.0,1.0
116,1.0,1.0,1.0
117,1.0,1.0,1.0
118,0.9902250000000001,1.0,1.0
119,0.9981583333333333,1.0,1.0
120,0.9995666666666668,1.0,1.0
121,0.9996666666666667,1.0,1.0
122,0.9999583333333334,1.0,1.0
123,0.9918916666666666,1.0,1.0
124,0.9998333333333334,1.0,1.0
125,0.9970750000000002,1.0,1.0
126,1.0,1.0,1.0
127,0.9990083333333334,1.0,1.0
128,1.0,1.0,1.0
129,0.9999000000000001,1.0,1.0
130,0.9947333333333332,1.0,1.0
131,1.0,1.0,1.0
132,0.993975,1.0,1.0
133,0.99985,1.0,1.0
134,0.9965,1.0,1.0
135,0.9714333333333333,1.0,1.0
136,0.9995333333333334,1.0,1.0
137,1.0,1.0,1.0
138,0.9988916666666667,1.0,1.0
139,0.9984999999999999,1.0,1.0
140,0.9986166666666668,1.0,1.0
141,0.9975583333333333,1.0,1.0
142,0.9935083333333332,1.0,1.0
143,0.9998333333333334,1.0,1.0
144,0.9791833333333334,1.0,1.0
145,0.9796666666666667,1.0,1.0
146,0.9956999999999999,1.0,1.0
147,1.0,1.0,1.0
148,0.9933166666666666,1.0,1.0
149,0.9999916666666667,1.0,1.0
150,0.9873666666666666,1.0,1.0
151,0.9994,1.0,1.0
152,0.9955916666666667,1.0,1.0
