generation,average,best,p90
0,0.11233333333333333,0.9119047619047619,0.26061904761904764
1,0.17143809523809522,0.9757142857142856,0.4059047619047621
2,0.2598952380952381,0.9533333333333333,0.6214285714285714
3,0.3268857142857143,0.939047619047619,0.6543809523809523
4,0.43481904761904766,0.9485714285714285,0.8201428571428572
5,0.538247619047619,0.9557142857142856,0.8432857142857144
6,0.5771619047619048,0.9495238095238095,0.9220476190476191
7,0.7102,0.9547619047619048,0.9449523809523809
8,0.8445428571428572,0.9742857142857142,0.9599047619047619
9,0.8968476190476191,0.9795238095238096,0.963095238095238
10,0.8897142857142858,0.9852380952380954,0.9663333333333334
11,0.8736761904761906,0.9904761904761905,0.9711904761904762
12,0.9367047619047618,0.9885714285714285,0.9744761904761905
13,0.9082571428571429,0.9833333333333334,0.972
14,0.9097809523809524,0.9895238095238095,0.9752857142857143
15,0.9505523809523809,0.9914285714285714,0.9815714285714285
16,0.9487333333333333,0.9876190476190475,0.9825238095238095
17,0.9363714285714285,0.9890476190476191,0.9801904761904762
18,0.9627714285714285,0.9971428571428572,0.9867142857142858
19,0.9523714285714284,0.997142857142857,0.9883333333333333
20,0.9401523809523809,0.9952380952380953,0.9910476190476191
21,0.9527142857142857,0.9995238095238096,0.9943809523809525
22,0.9487142857142856,0.9995238095238096,0.993904761904762
23,0.9681238095238095,1.0,0.9952380952380953
24,0.9486666666666665,0.998095238095238,0.9952380952380953
25,0.9496571428571428,0.9995238095238096,0.9957619047619047
26,0.956504761904762,1.0,0.9952857142857143
27,0.9527047619047618,0.998095238095238,0.9967142857142857
28,0.9659809523809524,1.0,0.9957619047619047
29,0.9699238095238094,1.0,0.9976666666666667
30,0.9698571428571428,0.9971428571428572,0.9942857142857142
31,0.9632476190476191,0.9995238095238096,0.9962857142857142
32,0.9265142857142856,1.0,0.9952380952380953
33,0.9145428571428572,1.0,0.9957142857142857
34,0.9660666666666665,0.9995238095238096,0.9976190476190476
35,0.9612666666666665,1.0,0.9977142857142858
36,0.9376857142857142,1.0,0.9967619047619048
37,0.9554095238095237,0.9995238095238096,0.9942857142857143
38,0.9658761904761904,1.0,0.9986190476190476
39,0.9560952380952381,0.9995238095238096,0.9962857142857142
40,0.9342285714285713,1.0,0.9995714285714287
41,0.9569714285714285,1.0,0.9981904761904762
42,0.9552952380952382,1.0,0.9986666666666667
43,0.9612380952380952,0.9990476190476191,0.9962380952380953
44,0.9536095238095237,1.0,0.9967619047619048
45,0.9499809523809524,1.0,0.9986190476190476
46,0.9511809523809523,1.0,0.9990476190476191
47,0.9519809523809525,1.0,0.9976666666666667
48,0.9515333333333333,1.0,0.9977142857142858
49,0.9553714285714285,1.0,0.9986190476190476
50,0.9646666666666668,1.0,0.9940476190476191
51,0.9701333333333332,0.9995238095238096,0.998095238095238
52,0.9699238095238095,1.0,0.9981904761904762
53,0.9615238095238097,1.0,0.9971428571428572
54,0.9699619047619046,1.0,0.9990952380952381
55,0.9691619047619047,1.0,1.0
56,0.9228952380952383,1.0,0.9985714285714286
57,0.9708761904761904,1.0,0.9995238095238096
58,0.9742666666666667,1.0,1.0
59,0.9672666666666667,1.0,1.0
60,0.9782,1.0,0.9995238095238096
61,0.976295238095238,1.0,1.0
62,0.9633333333333334,1.0,1.0
63,0.9815047619047619,1.0,1.0
64,0.9758571428571429,1.0,1.0
65,0.969685714285714,1.0,1.0
66,0.9726285714285714,1.0,1.0
67,0.9905809523809523,1.0,1.0
68,0.9909333333333333,1.0,1.0
69,0.9851619047619046,1.0,1.0
70,0.9707809523809524,1.0,0.9995714285714287
71,0.9771714285714286,1.0,1.0
72,0.9914000000000001,1.0,1.0
73,0.9874857142857142,1.0,1.0
74,0.9908666666666666,1.0,1.0
75,0.9900952380952383,1.0,1.0
76,0.9877238095238094,1.0,1.0
77,0.9858857142857141,1.0,1.0
78,0.9870666666666666,1.0,1.0
79,0.9911238095238096,1.0,1.0
80,0.9916380952380953,1.0,1.0
81,0.9767714285714285,1.0,1.0
82,0.9903142857142856,1.0,1.0
83,0.9741809523809524,1.0,1.0
84,0.9897047619047619,1.0,1.0
85,0.9791333333333333,1.0,0.9995714285714287
86,0.9811523809523809,1.0,1.0
87,0.9915428571428572,1.0,1.0
88,0.9753238095238095,1.0,1.0
89,0.989152380952381,1.0,1.0
90,0.9910571428571429,1.0,1.0
91,0.9893809523809526,1.0,1.0
92,0.9880476190476191,1.0,1.0
93,0.9642095238095237,1.0,1.0
94,0.9727809523809525,1.0,1.0
95,0.9936571428571429,1.0,1.0
96,0.9906857142857143,1.0,1.0
97,0.9808380952380952,1.0,1.0
98,0.9670857142857142,1.0,1.0
99,0.9802285714285713,1.0,1.0
100,0.9714761904761903,1.0,1.0
101,0.971190476190476,1.0,1.0
102,0.9898666666666668,1.0,1.0
103,0.9736476190476191,1.0,1.0
104,0.9900476190476191,1.0,1.0
105,0.985552380952381,1.0,1.0
106,0.9932761904761905,1.0,1.0
107,0.9698761904761907,1.0,1.0
108,0.9928761904761905,1.0,1.0
109,0.9750761904761904,1.0,1.0
110,0.9919523809523811,1.0,1.0
111,0.9940285714285713,1.0,1.0
112,0.9930761904761904,1.0,1.0
113,0.9946190476190476,1.0,1.0
114,0.9948,1.0,1.0
115,0.9719809523809524,1.0,1.0
116,0.9936095238095237,1.0,1.0
117,0.989152380952381,1.0,1.0
118,0.9938380952380953,1.0,1.0
119,0.9836285714285715,1.0,1.0
120,0.9927809523809524,1.0,1.0
121,0.9935238095238096,1.0,1.0
122,0.9712285714285714,1.0,1.0
123,0.9951904761904761,1.0,1.0
